timestamp,datetime,open,high,low,close,volume
1693559700,2023-09-01 09:15:00,1645.06,1646.44,1645.05,1645.18,198.73127601
1693560000,2023-09-01 09:20:00,1645.07,1646.47,1645.07,1645.27,303.46935751
1693560300,2023-09-01 09:25:00,1645.26,1645.83,1644.08,1645.82,111.94256583
1693560600,2023-09-01 09:30:00,1645.83,1646.22,1644.46,1644.94,100.95026992
1693560900,2023-09-01 09:35:00,1644.93,1644.93,1643.64,1643.83,116.02305552
1693561200,2023-09-01 09:40:00,1643.8,1645.32,1643.27,1645.04,146.89201621
1693561500,2023-09-01 09:45:00,1645.03,1646.5,1644.18,1646.21,305.70911504
1693561800,2023-09-01 09:50:00,1646.22,1646.36,1644.5,1644.51,53.18567888
1693562100,2023-09-01 09:55:00,1644.48,1644.97,1643.82,1644.79,102.74553783
1693562400,2023-09-01 10:00:00,1644.72,1644.99,1643.98,1643.98,124.94162153
1693562700,2023-09-01 10:05:00,1643.99,1644.2,1643.54,1643.93,86.77592547
1693563000,2023-09-01 10:10:00,1643.93,1645.08,1643.68,1645.08,81.50808607
1693563300,2023-09-01 10:15:00,1645.07,1645.23,1644.58,1644.65,93.35567816
1693563600,2023-09-01 10:20:00,1644.63,1645.32,1643.6,1644.27,150.43239319
1693563900,2023-09-01 10:25:00,1643.96,1643.96,1643.39,1643.51,33.60494775
1693564200,2023-09-01 10:30:00,1643.51,1643.84,1643.12,1643.84,173.59202662
1693564500,2023-09-01 10:35:00,1643.81,1644.79,1643.45,1643.51,210.69395076
1693564800,2023-09-01 10:40:00,1643.51,1643.51,1641.96,1642.22,137.61225198
1693565100,2023-09-01 10:45:00,1642.3,1643.04,1641.92,1641.92,247.10913972
1693565400,2023-09-01 10:50:00,1642.12,1642.48,1641.11,1642.36,164.16345095
1693565700,2023-09-01 10:55:00,1642.36,1642.45,1641.39,1641.88,93.22763952
1693566000,2023-09-01 11:00:00,1641.89,1643.38,1641.88,1643.38,63.60577077
1693566300,2023-09-01 11:05:00,1643.39,1643.43,1641.27,1641.43,139.3540972
1693566600,2023-09-01 11:10:00,1641.43,1641.62,1640.76,1641.28,209.44254954
1693566900,2023-09-01 11:15:00,1641.27,1642.73,1641.27,1641.62,56.1609495
1693567200,2023-09-01 11:20:00,1641.62,1642.63,1641.56,1642.34,165.55506977
1693567500,2023-09-01 11:25:00,1642.53,1643.32,1641.15,1641.34,181.17217786
1693567800,2023-09-01 11:30:00,1641.55,1643.51,1641.55,1643.32,212.27434506
1693568100,2023-09-01 11:35:00,1643.32,1645.63,1643.32,1645.59,269.17941497
1693568400,2023-09-01 11:40:00,1645.65,1647.55,1645.2,1645.66,284.76005588
1693568700,2023-09-01 11:45:00,1645.66,1647.61,1645.49,1646.85,241.09695211
1693569000,2023-09-01 11:50:00,1646.86,1647.6,1645.69,1646.67,224.84618167
1693569300,2023-09-01 11:55:00,1646.66,1647.19,1645.86,1646.12,223.28447611
1693569600,2023-09-01 12:00:00,1646.11,1648.64,1646.11,1647.62,180.33524824
1693569900,2023-09-01 12:05:00,1647.67,1648.6,1647.03,1648.3,71.46068235
1693570200,2023-09-01 12:10:00,1648.31,1648.5,1647.93,1648.18,91.23715702
1693570500,2023-09-01 12:15:00,1648.18,1651.43,1648.18,1648.77,398.3010681
1693570800,2023-09-01 12:20:00,1648.77,1651.58,1648.19,1649.52,236.0474274
1693571100,2023-09-01 12:25:00,1649.52,1649.79,1646.77,1647.55,197.04746719
1693571400,2023-09-01 12:30:00,1647.59,1651.08,1645.08,1646.07,1180.45907067
1693571700,2023-09-01 12:35:00,1646.11,1647.59,1644.56,1645.43,636.74319483
1693572000,2023-09-01 12:40:00,1645.23,1645.32,1642.14,1642.4,410.14924231
1693572300,2023-09-01 12:45:00,1642.27,1645.71,1641.92,1645.64,319.5556057
1693572600,2023-09-01 12:50:00,1645.44,1645.71,1643.57,1645.04,271.66390492
1693572900,2023-09-01 12:55:00,1645.16,1646.61,1643.78,1646.19,244.85994678
1693573200,2023-09-01 13:00:00,1646.17,1646.44,1645.17,1645.93,284.33032929
1693573500,2023-09-01 13:05:00,1645.91,1646.18,1644.98,1645.42,366.51288711
1693573800,2023-09-01 13:10:00,1645.42,1645.49,1644.16,1644.27,380.93391642
1693574100,2023-09-01 13:15:00,1644.27,1644.59,1643.74,1644.06,155.86086115
1693574400,2023-09-01 13:20:00,1644.06,1644.55,1643.5,1643.87,162.47392414
1693574700,2023-09-01 13:25:00,1643.82,1644.71,1643.47,1644.35,167.63054188
1693575000,2023-09-01 13:30:00,1644.27,1645.41,1643.03,1643.48,310.35812861
1693575300,2023-09-01 13:35:00,1643.48,1643.5,1641.47,1641.53,227.5112141
1693575600,2023-09-01 13:40:00,1641.6,1643.06,1641.14,1641.71,254.19380558
1693575900,2023-09-01 13:45:00,1641.7,1641.7,1634.24,1636.97,1651.13013368
1693576200,2023-09-01 13:50:00,1636.83,1638.38,1634.55,1637.99,1050.99517714
1693576500,2023-09-01 13:55:00,1637.76,1645.95,1637.76,1644.55,851.36787456
1693576800,2023-09-01 14:00:00,1644.31,1644.67,1641.85,1644.38,1017.81744448
1693577100,2023-09-01 14:05:00,1644.29,1644.87,1642.26,1642.9,637.50181702
1693577400,2023-09-01 14:10:00,1642.83,1643.15,1639.72,1640.31,595.20688549
1693577700,2023-09-01 14:15:00,1640.31,1641.5,1638.09,1641.17,319.48348546
1693578000,2023-09-01 14:20:00,1641.33,1642.42,1639.68,1639.92,445.26865514
1693578300,2023-09-01 14:25:00,1639.93,1640.79,1638.42,1639.73,368.19425606
1693578600,2023-09-01 14:30:00,1639.68,1639.68,1634.26,1635.0,1145.51702405
1693578900,2023-09-01 14:35:00,1635.0,1638.39,1634.75,1635.5,616.0797097
1693579200,2023-09-01 14:40:00,1635.44,1635.86,1633.95,1634.98,346.99102918
1693579500,2023-09-01 14:45:00,1634.99,1635.72,1621.23,1627.96,3190.85168375
1693579800,2023-09-01 14:50:00,1627.89,1631.57,1627.52,1629.25,970.27423378
1693580100,2023-09-01 14:55:00,1629.42,1631.47,1627.17,1630.16,776.12826286
1693580400,2023-09-01 15:00:00,1629.98,1632.16,1625.73,1625.82,1573.49756647
1693580700,2023-09-01 15:05:00,1625.71,1631.57,1623.05,1630.92,1248.72708518
1693581000,2023-09-01 15:10:00,1631.03,1633.58,1630.67,1631.43,573.30378625
1693581300,2023-09-01 15:15:00,1631.46,1636.03,1631.0,1635.53,1366.51068291
1693581600,2023-09-01 15:20:00,1635.62,1640.94,1633.75,1637.09,1170.51647431
1693581900,2023-09-01 15:25:00,1636.98,1637.23,1635.2,1635.95,561.86226303
1693582200,2023-09-01 15:30:00,1635.95,1638.63,1635.95,1636.85,508.06282705
1693582500,2023-09-01 15:35:00,1636.78,1639.0,1636.73,1637.01,242.01932054
1693582800,2023-09-01 15:40:00,1637.0,1637.34,1635.36,1635.6,332.38635328
1693583100,2023-09-01 15:45:00,1635.74,1635.74,1633.23,1634.09,351.97665268
1693583400,2023-09-01 15:50:00,1634.02,1636.22,1633.09,1636.09,240.09466124
1693583700,2023-09-01 15:55:00,1636.11,1636.41,1633.56,1634.02,271.35257104
1693584000,2023-09-01 16:00:00,1634.03,1634.8,1628.53,1630.85,1299.52143479
1693584300,2023-09-01 16:05:00,1630.7,1632.0,1628.36,1628.52,895.58664089
1693584600,2023-09-01 16:10:00,1628.78,1631.71,1628.22,1631.21,354.54871804
1693584900,2023-09-01 16:15:00,1631.21,1631.96,1629.21,1631.41,384.32252031
1693585200,2023-09-01 16:20:00,1631.4,1631.61,1629.23,1631.06,298.48139345
1693585500,2023-09-01 16:25:00,1631.2,1635.34,1631.1,1634.27,514.51470018
1693585800,2023-09-01 16:30:00,1634.2,1636.58,1633.1,1634.85,513.02094468
1693586100,2023-09-01 16:35:00,1634.84,1635.07,1630.77,1631.76,621.94873684
1693586400,2023-09-01 16:40:00,1631.8,1632.1,1627.84,1628.62,298.39885714
1693586700,2023-09-01 16:45:00,1628.62,1630.13,1625.7,1629.69,213.94944227
1693587000,2023-09-01 16:50:00,1629.35,1630.7,1627.19,1627.19,191.89057787
1693587300,2023-09-01 16:55:00,1626.99,1627.53,1623.6,1625.09,845.08436898
1693587600,2023-09-01 17:00:00,1624.95,1625.8,1620.47,1621.9,958.41285649
1693587900,2023-09-01 17:05:00,1621.97,1624.91,1617.85,1622.76,1195.61587201
1693588200,2023-09-01 17:10:00,1622.66,1622.72,1609.21,1609.79,3028.4019494
1693588500,2023-09-01 17:15:00,1609.82,1615.2,1608.0,1612.42,979.12852061
1693588800,2023-09-01 17:20:00,1612.26,1616.19,1611.19,1613.24,441.4349158
1693589100,2023-09-01 17:25:00,1613.2,1614.76,1601.69,1603.48,2770.0974632
1693589400,2023-09-01 17:30:00,1603.39,1608.59,1603.07,1606.07,1174.38336782
1693589700,2023-09-01 17:35:00,1606.15,1608.13,1602.3,1605.3,734.05536599
1693590000,2023-09-01 17:40:00,1605.19,1607.69,1602.0,1607.59,648.69419503
1693590300,2023-09-01 17:45:00,1607.72,1610.4,1604.78,1608.56,931.52440521
1693590600,2023-09-01 17:50:00,1608.47,1610.18,1605.9,1607.85,595.79849632
1693590900,2023-09-01 17:55:00,1608.06,1609.37,1605.14,1605.44,438.78428038
1693591200,2023-09-01 18:00:00,1605.56,1606.84,1603.88,1605.8,629.94175827
